ID,total_pop,med_wage,sqmi,pop_density,ed_2_above_req_percent,IND,NATIVITY
603718,58758,72462.72,19.98694857,2939.818442,0.165849757,1,0
603719,73653,59357,30.61233922,2405.990587,0.17993836,1,0
603720,48458,70545.02,28.71946463,1687.28772,0.182549837,1,0
603721,58165,45878.31,10.34487611,5622.590293,0.173162555,1,0
603722,69071,45893.056,13.23618758,5218.345508,0.133196276,1,0
603723,53577,37559.8432,10.35728997,5172.878249,0.098008474,1,0
603724,65718,56891.3925,30.12328912,2181.634274,0.153215253,1,0
603725,73114,57959.25,26.54142618,2754.712558,0.154457423,1,0
603728,45551,99912.764,9.569972755,4759.783666,0.195582973,1,0
603730,72815,70545.02,11.56323286,6297.114387,0.190276729,1,0
603731,49758,81398.1,13.45006954,3699.460427,0.21899996,1,0
603732,79898,53421.3,10.40854699,7676.191507,0.192457884,1,0
603733,47648,39854.496,2.877602634,16558.22782,0.178958193,1,0
603734,83319,45878.31,11.98045445,6954.577587,0.159147373,1,0
603735,76733,54265.4,19.38823136,3957.710148,0.142767779,1,0
603736,49005,60385.6,11.56198142,4238.460366,0.164921947,1,0
603737,45881,43412.32,14.14090242,3244.559551,0.141169547,1,0
603738,45548,35970.342,15.94308147,2856.913206,0.08680952,1,0
603739,66670,52528.9072,37.33684086,1785.635808,0.130388481,1,0
603740,50292,42819.756,17.25024272,2915.437239,0.079714468,1,0
603741,47631,33815.936,14.0311127,3394.670189,0.062123407,1,0
603742,45639,33815.936,12.32262647,3703.674709,0.058480685,1,0
603743,43863,35815.164,7.175666582,6112.74221,0.056243303,1,0
603744,72523,40571.475,15.49246307,4681.179466,0.120334239,1,0
603745,44691,30138.81,5.619412726,7952.966294,0.048085744,1,0
603746,36764,34307.87475,5.526008116,6652.903729,0.081547166,1,0
603747,62126,50975.9,14.57596919,4262.220864,0.118517207,1,0
603748,83544,90657.751,27.70808135,3015.149225,0.174985636,1,0
603750,63608,35683.13,11.27099962,5643.510083,0.083228525,1,0
603751,50091,32616.4,8.641078347,5796.845948,0.056117865,1,0
603752,63244,36294.8408,12.66142647,4995.013804,0.065018025,1,0
603753,45359,48762.315,12.22892409,3709.15705,0.102162746,1,0
603754,54120,50975.9,23.38396181,2314.40679,0.105783444,1,0
603757,57077,38120.7925,18.69619783,3052.866712,0.075476987,1,0
603758,61611,43412.32,13.66432719,4508.893789,0.109282433,1,0
603759,46280,44263.7016,8.421024901,5495.768098,0.117394123,1,0
603760,59138,108694.08,17.04042848,3470.45264,0.190875579,1,0
603761,49545,75347.025,17.97794896,2755.876107,0.16992633,1,0
603762,44766,48838.86,22.16039511,2020.090336,0.137827816,1,0
603763,57562,43412.32,13.57464731,4240.404829,0.111636149,1,0
603764,63875,61171.08,20.83549674,3065.681649,0.12339726,1,0
603766,39953,43412.32,11.73398927,3404.894881,0.11741296,1,0
603767,67643,43412.32,26.54929086,2547.826997,0.105435891,1,0
603768,36359,86881.7575,161.5507078,225.0624618,0.182458263,1,0
603770,48051,78501.28,8.137780724,5904.681095,0.190297809,1,0
603771,42106,65118.48,50.78016918,829.1819559,0.129292737,1,0
603772,33921,66856.285,1529.636844,22.17585183,0.112732526,1,0
603773,49233,71366.26,46.26924129,1064.054621,0.153393049,1,0
603774,46183,101951.8,200.1828656,230.7040608,0.2042743,1,0
